SC,名称,buy_date,buy_price,sell_date,sell_price,flg,株価
3333,あさひ,20190107,1400.0,20190110,1414.0,1,1414.0
4776,サイボウズ,20190108,668.0,20190110,661.0,1,661.0
7522,ワタミ,20190107,1345.0,20190111,1372.0,1,1372.0
1939,四電工,20190108,2639.0,20190111,2620.0,1,2620.0
4694,ビー・エム・エル,20190117,2869.0,20190123,2984.0,1,2984.0
6419,マースグループホールディングス,20190124,2205.0,20190125,2215.0,1,2215.0
6820,アイコム,20190131,2077.0,20190201,2114.0,1,2114.0
4356,応用技術,20190131,1159.0,20190206,1290.0,1,1290.0
9067,丸運,20190204,293.0,20190206,298.0,1,298.0
1384,ホクリヨウ,20190205,614.0,20190206,607.0,1,607.0
9928,ミロク情報サービス,20190131,2419.0,20190207,2556.0,1,2556.0
1893,五洋建設,20190204,621.0,20190207,628.0,1,628.0
4667,アイサンテクノロジー,20190204,2286.0,20190207,2383.0,1,2383.0
6278,ユニオンツール,20190204,2979.0,20190207,3075.0,1,3075.0
7231,トピー工業,20190204,2302.0,20190207,2378.0,1,2378.0
8154,加賀電子,20190204,1990.0,20190207,2034.0,1,2034.0
3580,小松マテーレ,20190205,762.0,20190207,765.0,1,765.0
9728,日本管財,20190205,1904.0,20190207,1907.0,1,1907.0
4819,デジタルガレージ,20190204,2533.0,20190208,2771.0,1,2771.0
3513,イチカワ,20190206,1364.0,20190208,1359.0,1,1359.0
7208,カネミツ,20190206,856.0,20190208,846.0,1,846.0
2107,東洋精糖,20190207,1030.0,20190208,1025.0,1,1025.0
9896,JKホールディングス,20190207,555.0,20190208,540.0,1,540.0
7722,国際計測器,20190206,770.0,20190212,763.0,1,763.0
3712,情報企画,20190212,1911.0,20190213,1954.0,1,1954.0
6858,小野測器,20190212,589.0,20190213,600.0,1,600.0
8439,東京センチュリー,20190212,4947.0,20190213,5030.0,1,5030.0
9022,東海旅客鉄道,20190212,23447.0,20190213,23800.0,1,23800.0
1518,三井松島ホールディングス,20190207,1392.0,20190214,1428.0,1,1428.0
2613,J-オイルミルズ,20190212,3879.0,20190214,3965.0,1,3965.0
8890,レーサム,20190212,1064.0,20190214,1139.0,1,1139.0
2804,ブルドックソース,20190213,2084.0,20190214,2099.0,1,2099.0
3636,三菱総合研究所,20190213,3202.0,20190214,3265.0,1,3265.0
6820,アイコム,20190213,2137.0,20190214,2115.0,1,2115.0
9749,富士ソフト,20190213,4362.0,20190214,4495.0,1,4495.0
7995,バルカー,20190206,2236.0,20190215,2278.0,1,2278.0
7467,萩原電気ホールディングス,20190208,2800.0,20190215,2941.0,1,2941.0
4368,扶桑化学工業,20190212,2061.0,20190215,2110.0,1,2110.0
8586,日立キャピタル,20190214,2431.0,20190215,2441.0,1,2441.0
3075,銚子丸,20190215,1048.0,20190218,1051.0,1,1051.0
9663,ナガワ,20190214,5481.0,20190219,5490.0,1,5490.0
6753,シャープ,20190218,1203.0,20190219,1266.0,1,1266.0
7561,ハークスレイ,20190218,1100.0,20190219,1103.0,1,1103.0
8140,リョーサン,20190218,3012.0,20190219,3095.0,1,3095.0
8596,九州リースサービス,20190218,689.0,20190219,696.0,1,696.0
6016,ジャパンエンジンコーポレーション,20190215,751.0,20190220,756.0,1,756.0
6317,北川鉄工所,20190213,2263.0,20190221,2445.0,1,2445.0
8354,ふくおかフィナンシャルグループ,20190218,2377.0,20190221,2460.0,1,2460.0
4239,ポラテクノ,20190219,553.0,20190221,555.0,1,555.0
4465,ニイタカ,20190220,1463.0,20190221,1476.0,1,1476.0
5921,川岸工業,20190220,2396.0,20190221,2399.0,1,2399.0
7895,中央化学,20190220,294.0,20190221,303.0,1,303.0
8289,Olympicグループ,20190215,669.0,20190222,717.0,1,717.0
9074,日本石油輸送,20190218,2861.0,20190222,2981.0,1,2981.0
8928,穴吹興産,20190219,2788.0,20190222,2806.0,1,2806.0
5388,クニミネ工業,20190220,819.0,20190222,824.0,1,824.0
6335,東京機械製作所,20190220,399.0,20190222,405.0,1,405.0
6630,ヤーマン,20190221,1340.0,20190222,1333.0,1,1333.0
7150,島根銀行,20190221,702.0,20190222,701.0,1,701.0
2705,大戸屋ホールディングス,20190214,2244.0,20190225,2263.0,1,2263.0
8692,だいこう証券ビジネス,20190214,400.0,20190225,440.0,1,440.0
