SC,名称,ema26,ema12
1301,極洋,2694.2287250129802,2707.530615717657
1332,日本水産,492.2119056708259,494.93620224394965
1333,マルハニチロ,2267.5411651464615,2250.5120023043455
1352,ホウスイ,902.6225913218641,910.4685461251565
1376,カネコ種苗,1448.9811569928863,1455.343012809118
1377,サカタのタネ,3525.8644368605546,3489.5080953844554
1379,ホクト,1992.1690412906958,2004.2475387442514
1380,秋川牧園,811.5781095773748,813.5897096519786
1381,アクシーズ,2658.4448050174933,2729.248641359436
1382,ホーブ,,
1383,ベルグアース,2084.2487253781815,2060.1518964181323
1384,ホクリヨウ,636.9939247908928,638.7840585408982
1400,ルーデン・ホールディングス,190.0647828993123,198.38518809289496
1401,エムビーエス,727.460209538109,733.330760972745
1407,ウエストホールディングス,1847.3373629022055,1886.4737265342924
1413,ヒノキヤグループ,1693.6585564036718,1727.6461304453958
1414,ショーボンドホールディングス,4830.013378530431,4919.8534799126455
1417,ミライト・ホールディングス,1513.7017588172055,1546.1273392895628
1418,インターライフホールディングス,186.12768548784078,186.91611215858168
1419,タマホーム,1280.2669056411255,1265.9605962774704
1420,サンヨーホームズ,630.0912224015534,634.6510685809515
1429,日本アクア,590.4671555457126,584.5228512740033
1430,ファーストコーポレーション,537.2019256410767,550.1767423335684
1431,Lib_Work,,
1433,ベステラ,1029.5315814375044,1031.7739214579808
1434,JESCOホールディングス,332.5579463320642,340.7219446069098
1435,TATERU,166.75242565368436,175.8724657455266
1436,フィット,,
1438,岐阜造園,,
1439,安江工務店,,
1443,技研ホールディングス,311.85518394917983,311.4512606109698
1446,キャンディル,538.3834797633932,565.2260973236041
1447,ITbookホールディングス,500.1165618495704,533.6637144623711
1448,スペースバリューホールディングス,364.13367187350553,366.16290788528005
1491,中外鉱業,17.26589259502621,17.56466197887659
1514,住石ホールディングス,118.05316493906659,120.13115307675118
1515,日鉄鉱業,4511.263836888134,4520.005022051516
1518,三井松島ホールディングス,869.3585907916575,871.084521313643
1605,国際石油開発帝石,732.4885789553415,734.0881703170026
1662,石油資源開発,1988.0711326772678,1969.818743331381
1663,K＆Oエナジーグループ,1542.2831511810894,1533.9926553562
1711,省電舎ホールディングス,297.5027697474316,302.9919283727142
1712,ダイセキ環境ソリューション,988.322553803013,976.6622420348909
1716,第一カッター興業,1990.685061312195,2109.838168620385
1717,明豊ファシリティワークス,560.5708867155746,568.3674015966948
1718,美樹工業,,
1719,安藤・間,672.3357235561812,665.1251463426123
1720,東急建設,579.3231154020302,581.9186605575755
1721,コムシスホールディングス,2998.4989180492094,3033.4183848310886
1722,ミサワホーム,,
1723,日本電技,,
1724,シンクレイヤ,856.6477750868646,867.6809850689586
1726,ビーアールホールディングス,543.6463958809273,547.8523402176894
1728,ミサワホーム中国,239.82966423009407,238.84478609717635
1730,麻生フオームクリート,,
1734,北弘電社,,
1736,オーテック,,
1737,三井金属エンジニアリング,,
1739,シード平和,,
1743,コーアツ工業,,
1757,クレアホールディングス,46.324735063234925,59.814728794278466
1758,太洋基礎工業,,
1762,高松コンストラクショングループ,2366.5158497262046,2369.0486834702037
1764,工藤建設,,
1766,東建コーポレーション,7362.394805413377,7371.453427554677
1768,ソネック,810.6172781944454,829.6655450034793
1770,藤田エンジニアリング,,
1771,日本乾溜工業,,
1775,富士古河E＆C,,
1776,三井住建道路,,
1777,川崎設備工業,,
1780,ヤマウラ,809.3760935464957,822.6698723174849
1782,常磐開発,,
1783,アジアゲートホールディングス,47.66922109810867,48.36654911792337
1789,ETSホールディングス,815.3336802403072,830.4785095120685
1793,大本組,,
1795,マサル,,
1798,守谷商会,,
1799,第一建設工業,,
1801,大成建設,3822.1328325137188,3921.6684564073894
1802,大林組,1015.5246251786704,1031.4679676419753
1803,清水建設,890.6531873394916,895.2113913623333
1805,飛島建設,1097.8699691793306,1102.827230659359
1807,佐藤渡辺,,
1808,長谷工コーポレーション,1315.8728076526486,1352.077629528129
1810,松井建設,655.930284721469,669.2547300594575
1811,錢高組,3769.5236130869675,3858.235068017969
1812,鹿島建設,1231.468455831789,1254.3594705154428
1813,不動テトラ,1418.7658707655273,1442.484365460583
1814,大末建設,796.1920674030904,815.7694805336668
1815,鉄建建設,2161.9214976669336,2147.4032710000442
1820,西松建設,2119.820032223934,2141.760157627664
1821,三井住友建設,469.9692082006119,479.46777857937843
1822,大豊建設,2418.7359765982224,2416.1092189810097
1824,前田建設工業,854.4230400859267,858.3841547218376
1826,佐田建設,408.59135356699943,417.78070500117354
1827,ナカノフドー建設,385.4289358713207,391.77046744570504
1828,田辺工業,722.6392107811366,730.3647341662904
1832,北海電気工事,,
1833,奥村組,2509.819126211985,2515.097068838067
1835,東鉄工業,2763.942534430092,2748.871051402787
1840,土屋ホールディングス,144.9363652377025,146.28643574809607
1841,サンユー建設,,
1844,大盛工業,223.51991906205254,226.02476770962437
1847,イチケン,1483.3893945358234,1526.31807243276
1848,富士ピー・エス,558.7482105493427,569.2606363848743
1850,南海辰村建設,289.14769251825766,297.2329620590727
1852,淺沼組,4130.169752070634,4233.01028661067
1853,森組,257.68208832983595,261.16094933482805
1860,戸田建設,682.7740098183926,696.7341747768256
1861,熊谷組,2591.22700678787,2631.2616801713
1865,青木あすなろ建設,,
1866,北野建設,2619.4760351448745,2639.1485905898535
1867,植木組,2455.083289635864,2453.107144192201
1869,名工建設,,
1870,矢作建設工業,776.1076665508147,779.8492957010629
1871,ピーエス三菱,542.2142536342724,539.0977409674272
1873,日本ハウスホールディングス,293.69896568923195,290.76522915402705
1878,大東建託,11030.051089061304,11038.645670864835
1879,新日本建設,806.2453549604797,826.2768019287792
1881,NIPPO,2584.474780586688,2608.0627967397363
1882,東亜道路工業,3208.81223268509,3257.2095827650605
1883,前田道路,2062.604292465106,2069.3765103279093
1884,日本道路,7162.274989844885,7298.503940321691
1885,東亜建設工業,1554.813639449021,1569.1069177420932
1888,若築建設,1179.382741151237,1182.326191199584
1890,東洋建設,417.66006270804576,412.4940382213513
1892,徳倉建設,,
1893,五洋建設,568.617728757114,575.9339379004343
1898,世紀東急工業,765.8505204664673,761.2893072363154
1899,福田組,4793.23953841288,4919.151861891786
1904,大成温調,,
1905,テノックス,823.5999122578224,836.928314402574
1906,細田工務店,,
1909,日本ドライケミカル,1586.5136560060027,1648.3904367906698
1911,住友林業,1316.5564179753164,1321.0329500617538
1914,日本基礎技術,418.35874521792016,421.98644939017424
1921,巴コーポレーション,380.00313506691265,388.4434209536589
1925,大和ハウス工業,2731.0469127697384,2749.5446187086063
1926,ライト工業,1463.8877156637855,1487.1122801339493
1928,積水ハウス,2031.3052785366638,2076.1192928337828
1929,日特建設,732.5457476270386,743.4654184741626
1930,北陸電気工事,942.5190499665558,955.0458187486643
1934,ユアテック,625.9012364841977,636.1937798993883
1938,日本リーテック,,
1939,四電工,2387.4321723278003,2414.8209225219266
1941,中電工,2263.3738725739377,2275.878278830066
1942,関電工,953.9261200262803,962.2729148264685
1944,きんでん,1779.6394020008506,1790.9495484204288
1945,東京エネシス,782.0124099389895,795.0466382989939
1946,トーエネック,3637.1667243379547,3700.3934793456565
1948,弘電社,,
1949,住友電設,2400.8277223369455,2380.9908858467934
1950,日本電設工業,2356.3150276072433,2398.000573996575
1951,協和エクシオ,2506.5829239764785,2528.6551712327123
1952,新日本空調,2430.1968126685183,2460.8954486495945
1954,日本工営,3094.357224923977,3091.317910460725
1959,九電工,2971.0958800354956,2992.5580961745263
1960,サンテック,,
1961,三機工業,1300.194785955083,1304.0390752892138
1963,日揮,1154.6500130964428,1188.1343306221033
1964,中外炉工業,1570.3598764271308,1566.9052887715598
1965,テクノ菱和,841.8388074021265,854.5653235478833
1966,高田工業所,792.8321253300431,796.8854704802068
1967,ヤマト,650.9932215491373,652.5243609945303
1968,太平電業,2321.97626751526,2321.6249884671747
1969,高砂熱学工業,1761.6977337931633,1766.9384765230127
1971,中央ビルト工業,,
1972,三晃金属工業,2104.7811697356265,2108.44945283093
1973,NECネッツエスアイ,2853.4163058181857,2216.9626944926495
1975,朝日工業社,3079.771292828463,3102.8717936618195
1976,明星工業,776.4630817061193,781.3280138218079
1979,大氣社,3196.8479673724587,3198.599365666898
1980,ダイダン,2822.7341052323295,2844.9880851000244
1981,協和日成,,
1982,日比谷総合設備,1859.2167450765435,1858.411629653302
1983,東芝プラントシステム,,
1987,ソルコム,,
1992,神田通信機,,
1994,高橋カーテンウォール工業,493.3226755670053,503.6873238076143
1997,暁飯島工業,,
1999,サイタホールディングス,,
2001,日本製粉,1623.410241008415,1613.0877878902375
2002,日清製粉グループ本社,1690.6718080542478,1692.0836637762095
