2108,日本甜菜製糖,1702.68
2109,三井製糖,2112.04
2112,塩水港精糖,209.04
2114,フジ日本精糖,510.0
2117,日新製糖,1938.68
2120,LIFULL,419.76
2121,ミクシィ,1804.24
2122,インタースペース,1003.12
2124,ジェイエイシーリクルートメント,1312.44
2127,日本M＆Aセンター,4230.2
2130,メンバーズ,1758.92
2134,燦キャピタルマネージメント,86.24
2136,ヒップ,621.6
2137,光ハイツ・ヴェラス,
2138,クルーズ,1104.4
2139,中広,527.12
2146,UTグループ,2072.72
2148,アイティメディア,1121.72
2150,ケアネット,1148.28
2151,タケエイ,929.12
2152,幼児活動研究会,883.84
2153,E・Jホールディングス,1536.12
2154,ビーネックスグループ,834.08
2156,セーラー広告,
2157,コシダカホールディングス,508.76
2158,FRONTEO,637.08
2159,フルスピード,469.76
2160,ジーエヌアイグループ,1690.52
2162,nmsホールディングス,308.76
2163,アルトナー,777.72
2164,地域新聞社,670.56
2168,パソナグループ,1232.88
2169,CDS,1298.24
2170,リンクアンドモチベーション,431.16
2172,インサイト,324.64
2173,博展,505.44
2174,GCA,660.0
2175,エス・エム・エス,2625.72
2176,イナリサーチ,714.0
2178,トライステージ,311.6
2179,成学社,776.48
2180,サニーサイドアップグループ,785.96
2181,パーソルホールディングス,1396.24
2183,リニカル,954.88
2185,シイエム・シイ,2179.24
2186,ソーバル,1020.08
2191,テラ,1017.88
2193,クックパッド,305.08
2195,アミタホールディングス,
2196,エスクリ,438.76
2198,アイ・ケイ・ケイ,613.88
2201,森永製菓,4454.4
2204,中村屋,4026.8
2206,江崎グリコ,5116.4
2207,名糖産業,1291.4
2208,ブルボン,1810.56
2209,井村屋グループ,1999.84
2211,不二家,2124.96
2212,山崎製パン,1881.8
2215,第一屋製パン,948.88
2216,カンロ,1494.0
2217,モロゾフ,5779.2
2218,日糧製パン,
2220,亀田製菓,5300.0
2221,岩塚製菓,3510.4
2222,寿スピリッツ,5124.4
2224,コモ,2418.64
2226,湖池屋,
2229,カルビー,3078.16
2264,森永乳業,4438.2
2266,六甲バター,1489.04
2267,ヤクルト本社,6575.2
2268,B-Rサーティワンアイスクリーム,3973.8
2269,明治ホールディングス,7911.6
2270,雪印メグミルク,2611.24
2281,プリマハム,2529.64
2282,日本ハム,3974.2
2286,林兼産業,581.88
2288,丸大食品,1978.76
2291,福留ハム,
2292,S　Foods,2529.0
2293,滝沢ハム,
2294,柿安本店,2520.4
2296,伊藤ハム米久ホールディングス,646.8
2300,きょくとう,496.52
2301,学情,1311.32
2303,ドーン,2228.84
2304,CSSホールディングス,263.84
2305,スタジオアリス,1622.72
2307,クロスキャット,1078.32
2309,シミックホールディングス,1505.16
2311,エプコ,1104.64
2315,CAICA,31.96
2317,システナ,1533.32
2321,ソフトフロントホールディングス,135.48
2323,fonfun,361.08
2325,NJS,1788.36
2326,デジタルアーツ,8283.6
2327,日鉄ソリューションズ,2870.0
2329,東北新社,579.44
2330,フォーサイド,100.48
2331,綜合警備保障,5363.6
2332,クエスト,1197.16
2334,イオレ,1413.0
2335,キューブシステム,772.16
2337,いちご,298.52
2338,ビットワングループ,311.12
2340,極楽湯ホールディングス,377.48
2341,アルバイトタイムス,163.52
2342,トランスジェニック,360.84
2344,平安レイサービス,835.8
2345,クシム,1091.32
2349,エヌアイデイ,1380.04
2351,ASJ,1450.44
2352,エイジア,1329.36
2353,日本駐車場開発,140.84
2354,YE_DIGITAL,539.96
2359,コア,1193.04
2362,夢真ホールディングス,621.64
2370,メディネット,102.44
2371,カカクコム,2646.0
2372,アイロムグループ,2444.6
2373,ケア21,1502.24
2374,セントケア・ホールディング,422.88
2375,ギグワークス,1274.28
2376,サイネックス,654.56
2378,ルネサンス,1144.12
2379,ディップ,2548.12
2384,SBSホールディングス,2158.88
2385,総医研ホールディングス,482.04
2388,ウェッジホールディングス,104.88
2389,オプトホールディング,1494.8
2391,プラネット,1504.96
2393,日本ケアサプライ,1329.72
2395,新日本科学,662.88
2397,DNAチップ研究所,711.16
2398,ツクイ,509.6
2402,アマナ,614.8
2404,鉄人化計画,300.92
2406,アルテサロンホールディングス,488.48
2408,KG情報,271.96
2410,キャリアデザインセンター,958.04
2411,ゲンダイエージェンシー,277.0
2412,ベネフィット・ワン,2240.92
2413,エムスリー,4189.4
2415,ヒューマンホールディングス,814.84
2417,ツヴァイ,
2418,ツカダ・グローバルホールディング,375.96
2424,ブラス,506.12
2425,ケアサービス,
2427,アウトソーシング,655.52
2428,ウェルネット,707.6
2429,ワールドホールディングス,1784.08
2432,ディー・エヌ・エー,1448.72
2433,博報堂DYホールディングス,1256.64
2435,シダー,203.8
2436,共同ピーアール,822.56
2437,Shinwa_Wise_Holdings,368.24
2438,アスカネット,1484.24
2440,ぐるなび,682.8
2445,タカミヤ,486.4
2453,ジャパンベストレスキューシステム,799.72
2454,オールアバウト,719.96
2459,アウンコンサルティング,173.84
2461,ファンコミュニケーションズ,461.32
2462,ライク,1674.68
2464,ビジネス・ブレークスルー,384.72
2467,バルクホールディングス,234.68
2468,フュートレック,427.16
2469,ヒビノ,1442.24
2471,エスプール,765.6
2475,WDBホールディングス,2616.48
2477,手間いらず,4924.6
2479,ジェイテック,178.72
2480,システム・ロケーション,1118.92
2481,タウンニュース社,387.72
2483,翻訳センター,1355.08
2484,出前館,1313.04
2485,ティア,523.0
2487,CDG,1507.08
2488,日本サード・パーティ,1018.64
2489,アドウェイズ,305.6
2491,バリューコマース,2616.08
2492,インフォマート,879.2
2493,イーサポートリンク,963.4
2497,ユナイテッド,1167.44
2498,オリエンタルコンサルタンツホールディングス,2275.16
2499,日本和装ホールディングス,342.2
2501,サッポロホールディングス,2119.32
2502,アサヒグループホールディングス,4008.36
2503,キリンホールディングス,2173.54
2531,宝ホールディングス,869.92
2533,オエノンホールディングス,395.2
2540,養命酒製造,1891.36
2551,マルサンアイ,3706.8
2573,北海道コカ・コーラボトリング,3954.8
2579,コカ・コーラボトラーズジャパンホールディングス,2086.12
2586,フルッタフルッタ,151.4
2587,サントリー食品インターナショナル,4289.2
2588,プレミアムウォーターホールディングス,1787.28
2590,ダイドーグループホールディングス,4854.8
2593,伊藤園,6132.4
2594,キーコーヒー,2310.72
2597,ユニカフェ,953.88
2599,ジャパンフーズ,1177.84
2602,日清オイリオグループ,3400.2
2607,不二製油グループ本社,2789.2
2608,ボーソー油脂,1015.12
2612,かどや製油,3653.8
2613,J-オイルミルズ,4191.4
2651,ローソン,5804.8
2652,まんだらけ,489.44
2653,イオン九州,1778.72
2654,アスモ,504.04
2656,ベクター,234.04
2659,サンエー,4227.6
2664,カワチ薬品,2568.6
2666,オートウェーブ,106.08
2667,イメージワン,503.44
2668,タビオ,
2669,カネ美食品,3016.96
2670,エービーシー・マート,6323.2
2673,夢みつけ隊,114.16
2674,ハードオフコーポレーション,708.48
2675,ダイナックホールディングス,1446.36
2676,高千穂交易,965.24
2678,アスクル,3495.4
2681,ゲオホールディングス,1378.72
2683,魚喜,1123.6
2685,アダストリア,1701.32
2686,ジーフット,471.2
2687,シー・ヴイ・エス・ベイエリア,467.92
2689,カワニシホールディングス,1354.28
2692,伊藤忠食品,4794.6
2693,YKT,311.48
2694,ジー・テイスト,71.44
2695,くら寿司,4885.4
2698,キャンドゥ,1914.0
2700,木徳神糧,3447.0
2702,日本マクドナルドホールディングス,5705.6
2705,大戸屋ホールディングス,2207.64
2706,ブロッコリー,1405.36
2708,久世,757.84
2714,プラマテルズ,
2715,エレマテック,862.64
