SC,名称,buy_date,buy_price,sell_date,sell_price
2805,ヱスビー食品,20200305,4178.0,,
2831,はごろもフーズ,20200325,2688.0,,
9173,東海汽船,20200325,2186.0,,
2805,ヱスビー食品,20200326,4053.0,,
3944,古林紙工,20200327,2416.0,,
9083,神姫バス,20200327,3408.0,,
2805,ヱスビー食品,20200331,4049.0,,
8085,ナラサキ産業,20200331,1726.0,,
2806,ユタカフーズ,20200402,1625.0,,
2831,はごろもフーズ,20200403,2695.0,,
3045,カワサキ,20200406,855.0,,
6743,大同信号,20200406,468.0,,
9686,東洋テック,20200406,949.0,,
2216,カンロ,20200407,1317.0,,
7444,ハリマ共和物産,20200407,1408.0,,
9173,東海汽船,20200408,2098.0,,
2806,ユタカフーズ,20200409,1608.0,,
5816,オーナンバ,20200409,294.0,,
5922,那須電機鉄工,20200409,8216.0,,
6307,サンセイ,20200410,287.0,,
9171,栗林商船,20200410,302.0,,
5446,北越メタル,20200413,974.0,,
5386,鶴弥,20200414,363.0,,
9059,カンダホールディングス,20200414,715.0,,
4361,川口化学工業,20200415,755.0,,
5237,ノザワ,20200415,607.0,,
9082,大和自動車交通,20200416,847.0,,
6322,タクミナ,20200417,1215.0,,
7875,竹田印刷,20200417,552.0,,
8144,電響社,20200417,914.0,,
2805,ヱスビー食品,20200420,3949.0,,
3597,自重堂,20200421,6097.0,,
8046,丸藤シートパイル,20200421,1725.0,,
3449,テクノフレックス,20200423,717.0,,
4341,西菱電機,20200423,829.0,,
6382,トリニティ工業,20200423,653.0,,
8046,丸藤シートパイル,20200424,1724.0,,
8144,電響社,20200428,908.0,,
2805,ヱスビー食品,20200430,3963.0,,
7879,ノダ,20200430,609.0,,
2806,ユタカフーズ,20200501,1613.0,,
8040,東京ソワール,20200501,633.0,,
4481,ベース,20200508,7547.0,,
7460,ヤギ,20200508,1441.0,,
8030,中央魚類,20200508,2439.0,,
3248,アールエイジ,20200511,457.0,,
7975,リヒトラブ,20200511,1411.0,,
9761,東海リース,20200511,1168.0,,
5161,西川ゴム工業,20200514,1181.0,,
5237,ノザワ,20200514,566.0,,
4524,森下仁丹,20200515,1883.0,,
6946,日本アビオニクス,20200515,1562.0,,
3597,自重堂,20200519,6147.0,,
4251,恵和,20200520,1333.0,,
5690,リバーホールディングス,20200520,685.0,,
7208,カネミツ,20200520,566.0,,
5690,リバーホールディングス,20200525,693.0,,
5922,那須電機鉄工,20200525,8670.0,,
7879,ノダ,20200525,605.0,,
2805,ヱスビー食品,20200526,3988.0,,
9313,丸八倉庫,20200526,548.0,,
5922,那須電機鉄工,20200527,8641.0,,
6402,兼松エンジニアリング,20200528,1138.0,,
3597,自重堂,20200529,6215.0,,
4364,マナック,20200602,996.0,,
2588,プレミアムウォーターホールディングス,20200604,1765.0,,
4107,伊勢化学工業,20200604,3136.0,,
4524,森下仁丹,20200608,1906.0,,
5817,JMACS,20200608,530.0,,
7831,ウイルコホールディングス,20200609,139.0,,
2216,カンロ,20200610,1492.0,,
4616,川上塗料,20200610,1353.0,,
6897,ツインバード工業,20200610,471.0,,
9353,櫻島埠頭,20200610,1678.0,,
4524,森下仁丹,20200612,1912.0,,
