SC,名称,buy_date,buy_price,sell_date,sell_price,flg,株価
2903,シノブフーズ,20190703,685.0,20190704,683.0,1,683.0
9929,平和紙業,20190703,439.0,20190704,438.0,1,438.0
6023,ダイハツディーゼル,20190704,665.0,20190705,653.0,1,653.0
7254,ユニバンス,20190704,296.0,20190705,293.0,1,293.0
1853,森組,20190703,327.0,20190708,337.0,1,337.0
6639,コンテック,20190704,1396.0,20190708,1400.0,1,1400.0
8287,マックスバリュ西日本,20190704,1727.0,20190708,1728.0,1,1728.0
5967,TONE,20190704,2447.0,20190709,2505.0,1,2505.0
2788,アップルインターナショナル,20190705,232.0,20190709,232.0,1,232.0
8198,マックスバリュ東海,20190705,1971.0,20190709,1974.0,1,1974.0
6144,西部電機,20190702,796.0,20190710,809.0,1,809.0
6964,サンコー,20190703,431.0,20190710,442.0,1,442.0
6493,日鍛バルブ,20190704,295.0,20190710,297.0,1,297.0
1717,明豊ファシリティワークス,20190709,451.0,20190710,453.0,1,453.0
3768,リスクモンスター,20190710,1221.0,20190711,1232.0,1,1232.0
5184,ニチリン,20190710,1533.0,20190711,1547.0,1,1547.0
6786,RVH,20190705,182.0,20190712,184.0,1,184.0
5984,兼房,20190703,838.0,20190717,880.0,1,880.0
2405,フジコー,20190705,479.0,20190717,535.0,1,535.0
3059,ヒラキ,20190710,889.0,20190718,903.0,1,903.0
1965,テクノ菱和,20190712,785.0,20190718,789.0,1,789.0
6023,ダイハツディーゼル,20190712,666.0,20190718,662.0,1,662.0
1775,富士古河E＆C,20190717,1789.0,20190718,1780.0,1,1780.0
1853,森組,20190717,331.0,20190718,325.0,1,325.0
4367,広栄化学工業,20190717,1566.0,20190718,1570.0,1,1570.0
5614,川金ホールディングス,20190717,360.0,20190718,358.0,1,358.0
6188,富士ソフトサービスビューロ,20190717,327.0,20190718,322.0,1,322.0
6566,要興業,20190716,674.0,20190719,693.0,1,693.0
9028,ゼロ,20190708,804.0,20190722,855.0,1,855.0
1850,南海辰村建設,20190719,367.0,20190722,377.0,1,377.0
2159,フルスピード,20190719,553.0,20190722,556.0,1,556.0
2208,ブルボン,20190719,1705.0,20190722,1713.0,1,1713.0
4119,日本ピグメント,20190719,2447.0,20190722,2449.0,1,2449.0
