SC,名称,buy_date,buy_price,sell_date,sell_price,flg,株価
4107,伊勢化学工業,20200603,3122.0,20200608,3100.0,1.0,3100.0
4107,伊勢化学工業,20200604,3130.0,20200608,3100.0,1.0,3100.0
4367,広栄化学工業,20200605,2975.0,20200608,2999.0,1.0,2999.0
4595,ミズホメディー,20200605,1593.0,20200608,1596.0,1.0,1596.0
4524,森下仁丹,20200608,1906.0,20200609,1901.0,1.0,1901.0
6246,テクノスマート,20200608,799.0,20200609,799.0,1.0,799.0
5956,トーソー,20200603,454.0,20200610,471.0,1.0,471.0
1443,技研ホールディングス,20200605,316.0,20200611,315.0,1.0,315.0
9857,英和,20200605,938.0,20200611,974.0,1.0,974.0
1828,田辺工業,20200608,716.0,20200611,740.0,1.0,740.0
3810,サイバーステップ,20200609,1404.0,20200611,1382.0,1.0,1382.0
