SC,名称,20200619,株価,compare,rate,reserve_price
3538,ウイルプラスホールディングス,728.52,728.0,0.5199999999999818,0.0007137758743754212,729.0
6016,ジャパンエンジンコーポレーション,624.44,624.0,0.44000000000005457,0.000704631349689409,621.0
4963,星光PMC,713.6,713.0,0.6000000000000227,0.0008408071748879242,712.0
7902,ソノコム,741.72,741.0,0.7200000000000273,0.0009707167125061038,742.0
4762,エックスネット,972.84,972.0,0.8400000000000318,0.0008634513383496071,973.0
9760,進学会ホールディングス,512.04,512.0,0.03999999999996362,7.811889696110386e-05,513.0
3347,トラスト,166.04,166.0,0.03999999999999204,0.00024090580582987258,167.0
8864,空港施設,430.24,430.0,0.2400000000000091,0.0005578281889178344,430.0
3071,ストリーム,75.04,75.0,0.04000000000000625,0.0005330490405118103,76.0
