SC,名称,buy_date,buy_price,sell_date,sell_price
9376,ユーラシア旅行社,20190207,560.0,,
4361,川口化学工業,20190212,995.0,,
6295,富士変速機,20190312,312.0,,
1776,三井住建道路,20190319,744.0,,
1777,川崎設備工業,20190319,390.0,,
8147,トミタ,20190320,999.0,,
9890,マキヤ,20190326,741.0,,
5287,イトーヨーギョー,20190416,699.0,,
6016,ジャパンエンジンコーポレーション,20190416,737.0,,
3261,グランディーズ,20190425,427.0,,
7841,遠藤製作所,20190509,561.0,,
3045,カワサキ,20190604,918.0,,
4769,インフォメーションクリエーティブ,20190604,581.0,,
6747,KIホールディングス,20190607,452.0,,
3045,カワサキ,20190610,921.0,,
8115,ムーンバット,20190621,839.0,,
3440,日創プロニティ,20190701,882.0,,
3190,ホットマン,20190718,591.0,,
7538,大水,20190719,227.0,,
6147,ヤマザキ,20190724,412.0,,
7490,日新商事,20190729,813.0,,
2789,カルラ,20190807,468.0,,
7228,デイトナ,20190807,961.0,,
9059,カンダホールディングス,20190814,815.0,,
3057,ゼットン,20190826,927.0,,
6347,プラコー,20190912,874.0,,
9376,ユーラシア旅行社,20190920,511.0,,
6734,ニューテック,20190925,860.0,,
3604,川本産業,20190927,407.0,,
3604,川本産業,20191002,408.0,,
6912,菊水電子工業,20191003,775.0,,
9402,中部日本放送,20191003,639.0,,
9059,カンダホールディングス,20191009,819.0,,
9036,東部ネットワーク,20191010,978.0,,
9059,カンダホールディングス,20191017,821.0,,
6969,松尾電機,20191021,371.0,,
2344,平安レイサービス,20191023,839.0,,
7037,テノ.ホールディングス,20191023,843.0,,
2708,久世,20191024,863.0,,
9402,中部日本放送,20191028,643.0,,
1739,シード平和,20191029,694.0,,
5993,知多鋼業,20191030,716.0,,
2721,ジェイホールディングス,20191108,428.0,,
3045,カワサキ,20191108,912.0,,
9176,佐渡汽船,20191111,252.0,,
4625,アトミクス,20191118,699.0,,
5997,協立エアテック,20191118,765.0,,
3045,カワサキ,20191119,917.0,,
3384,アークコア,20191120,473.0,,
6912,菊水電子工業,20191122,813.0,,
7837,アールシーコア,20191126,1000.0,,
3190,ホットマン,20191127,583.0,,
6040,日本スキー場開発,20191127,867.0,,
7670,オーウエル,20191128,663.0,,
7837,アールシーコア,20191129,1000.0,,
4705,クリップコーポレーション,20191202,796.0,,
4366,ダイトーケミックス,20191203,441.0,,
3604,川本産業,20191205,430.0,,
3895,ハビックス,20191205,756.0,,
2795,日本プリメックス,20191206,864.0,,
4752,昭和システムエンジニアリング,20191209,768.0,,
7946,光陽社,20191212,797.0,,
9055,アルプス物流,20191212,802.0,,
6016,ジャパンエンジンコーポレーション,20191219,727.0,,
5997,協立エアテック,20191226,791.0,,
2344,平安レイサービス,20200107,892.0,,
2721,ジェイホールディングス,20200107,425.0,,
2917,大森屋,20200107,805.0,,
7870,福島印刷,20200107,396.0,,
3190,ホットマン,20200109,594.0,,
4640,アンドール,20200109,522.0,,
4761,さくらケーシーエス,20200109,962.0,,
5458,高砂鐵工,20200114,642.0,,
4625,アトミクス,20200116,701.0,,
2903,シノブフーズ,20200117,702.0,,
2917,大森屋,20200121,806.0,,
1436,フィット,20200127,682.0,,
3803,イメージ情報開発,20200128,665.0,,
4640,アンドール,20200128,542.0,,
4705,クリップコーポレーション,20200129,855.0,,
6912,菊水電子工業,20200204,858.0,,
2789,カルラ,20200205,508.0,,
7040,サン・ライフホールディング,20200206,978.0,,
7939,研創,20200206,420.0,,
3045,カワサキ,20200207,998.0,,
2179,成学社,20200213,934.0,,
4990,昭和化学工業,20200214,734.0,,
7899,MICS化学,20200220,380.0,,
9941,太洋物産,20200228,574.0,,
6040,日本スキー場開発,20200415,745.0,,
6558,クックビズ,20200423,921.0,,
2917,大森屋,20200430,699.0,,
3306,日本製麻,20200430,274.0,,
7827,オービス,20200508,622.0,,
3248,アールエイジ,20200511,456.0,,
2344,平安レイサービス,20200518,813.0,,
2344,平安レイサービス,20200519,815.0,,
4433,ヒト・コミュニケーションズ・ホールディングス,20200520,945.0,,
7208,カネミツ,20200520,565.0,,
4351,山田債権回収管理総合事務所,20200522,533.0,,
2344,平安レイサービス,20200525,820.0,,
5690,リバーホールディングス,20200525,692.0,,
7879,ノダ,20200525,605.0,,
3666,テクノスジャパン,20200615,561.0,,
4361,川口化学工業,20200616,942.0,,
4705,クリップコーポレーション,20200616,746.0,,
4284,ソルクシーズ,20200617,699.0,,
6881,キョウデン,20200617,305.0,,
6905,コーセル,20200617,912.0,,
3454,ファーストブラザーズ,20200618,714.0,,
8914,エリアリンク,20200618,930.0,,
3978,マクロミル,20200619,743.0,,
6016,ジャパンエンジンコーポレーション,20200619,616.0,,
