1942,関電工,966.32,968.0
1944,きんでん,1789.92,1792.64
1945,東京エネシス,775.64,777.32
1946,トーエネック,3667.6,3684.6
1948,弘電社,4623.8,4666.6
1949,住友電設,2479.92,2477.72
1950,日本電設工業,2360.52,2366.24
1951,協和エクシオ,2471.88,2474.96
1952,新日本空調,2475.72,2480.48
1954,日本工営,3134.88,3131.88
1959,九電工,2977.16,2980.96
1960,サンテック,597.36,598.84
1961,三機工業,1316.0,1318.68
1963,日揮ホールディングス,1151.68,1158.64
1964,中外炉工業,1588.52,1589.76
1965,テクノ菱和,843.48,846.08
1966,高田工業所,807.52,810.96
1967,ヤマト,650.96,652.28
1968,太平電業,2343.48,2340.24
1969,高砂熱学工業,1769.6,1772.04
1971,中央ビルト工業,605.2,608.48
1972,三晃金属工業,2094.72,2094.84
1973,NECネッツエスアイ,3282.32,3154.16
1975,朝日工業社,3100.84,3106.68
1976,明星工業,779.04,781.24
1979,大氣社,3217.28,3224.0
1980,ダイダン,2829.12,2832.76
1982,日比谷総合設備,1865.76,1868.76
1992,神田通信機,,
1994,高橋カーテンウォール工業,499.88,501.8
1997,暁飯島工業,1239.64,1244.92
1999,サイタホールディングス,,
2001,日本製粉,1612.56,1612.92
2002,日清製粉グループ本社,1678.6,1683.48
2003,日東富士製粉,6113.6,6123.2
2004,昭和産業,3242.6,3247.0
2009,鳥越製粉,889.76,891.44
2053,中部飼料,1641.4,1648.48
2055,日和産業,278.0,278.76
2058,ヒガシマル,,
2060,フィード・ワン,189.8,190.24
2107,東洋精糖,1242.12,1244.52
2108,日本甜菜製糖,1704.04,1706.68
2109,三井製糖,2088.56,2083.84
2112,塩水港精糖,209.68,209.8
2114,フジ日本精糖,511.96,512.32
2117,日新製糖,1937.2,1934.72
2120,LIFULL,427.48,427.8
2121,ミクシィ,1774.88,1773.16
2122,インタースペース,1017.92,1027.48
2124,ジェイエイシーリクルートメント,1309.52,1311.04
2127,日本M＆Aセンター,4406.0,4453.8
2130,メンバーズ,1736.0,1736.24
2134,燦キャピタルマネージメント,90.24,91.32
2136,ヒップ,627.04,629.64
2138,クルーズ,1094.48,1089.8
2139,中広,532.24,533.8
2146,UTグループ,2154.32,2179.32
2148,アイティメディア,1210.32,1237.84
2150,ケアネット,1226.88,1248.04
