SC,名称,buy_date,buy_price,sell_date,sell_price,flg,株価
3358,ワイエスフード,20190107,292.0,20190108,309.0,1,309.0
4776,サイボウズ,20190108,668.0,20190110,661.0,1,661.0
6535,アイモバイル,20190108,772.0,20190110,743.0,1,743.0
1945,東京エネシス,20190107,951.0,20190111,946.0,1,946.0
8013,ナイガイ,20190108,513.0,20190116,519.0,1,519.0
3955,イムラ封筒,20190107,549.0,20190117,587.0,1,587.0
6533,Orchestraホールディングス,20190107,870.0,20190118,956.0,1,956.0
6295,富士変速機,20190124,294.0,20190125,299.0,1,299.0
4714,リソー教育,20190129,439.0,20190130,433.0,1,433.0
1719,安藤・間,20190130,717.0,20190201,711.0,1,711.0
7836,アビックス,20190131,106.0,20190201,106.0,1,106.0
3024,クリエイト,20190130,870.0,20190205,854.0,1,854.0
3656,KLab,20190204,900.0,20190206,906.0,1,906.0
7277,TBK,20190204,403.0,20190206,402.0,1,402.0
9067,丸運,20190204,293.0,20190206,298.0,1,298.0
1384,ホクリヨウ,20190205,614.0,20190206,607.0,1,607.0
1893,五洋建設,20190204,621.0,20190207,628.0,1,628.0
3580,小松マテーレ,20190205,762.0,20190207,765.0,1,765.0
8904,サンヨーハウジング名古屋,20190206,921.0,20190207,923.0,1,923.0
2874,横浜冷凍,20190205,929.0,20190208,923.0,1,923.0
9310,日本トランスシティ,20190205,436.0,20190208,425.0,1,425.0
9896,JKホールディングス,20190205,551.0,20190208,540.0,1,540.0
6919,ケル,20190206,905.0,20190208,888.0,1,888.0
7208,カネミツ,20190206,856.0,20190208,846.0,1,846.0
9896,JKホールディングス,20190207,555.0,20190208,540.0,1,540.0
4350,メディカルシステムネットワーク,20190201,405.0,20190212,443.0,1,443.0
7722,国際計測器,20190206,770.0,20190212,763.0,1,763.0
4762,エックスネット,20190212,835.0,20190213,847.0,1,847.0
6255,エヌ・ピー・シー,20190212,271.0,20190213,281.0,1,281.0
6858,小野測器,20190212,589.0,20190213,600.0,1,600.0
7241,フタバ産業,20190212,574.0,20190213,602.0,1,602.0
7702,JMS,20190205,569.0,20190215,638.0,1,638.0
2404,鉄人化計画,20190207,317.0,20190215,317.0,1,317.0
6143,ソディック,20190212,784.0,20190215,812.0,1,812.0
6989,北陸電気工業,20190204,943.0,20190218,1063.0,1,1063.0
9919,関西スーパーマーケット,20190213,1001.0,20190219,1012.0,1,1012.0
5974,中国工業,20190218,559.0,20190219,562.0,1,562.0
8596,九州リースサービス,20190218,689.0,20190219,696.0,1,696.0
8908,毎日コムネット,20190212,739.0,20190220,773.0,1,773.0
6016,ジャパンエンジンコーポレーション,20190215,751.0,20190220,756.0,1,756.0
3096,オーシャンシステム,20190219,914.0,20190220,915.0,1,915.0
2300,きょくとう,20190214,621.0,20190221,629.0,1,629.0
3467,アグレ都市デザイン,20190215,613.0,20190221,628.0,1,628.0
3316,東京日産コンピュータシステム,20190218,571.0,20190221,592.0,1,592.0
4239,ポラテクノ,20190219,553.0,20190221,555.0,1,555.0
7895,中央化学,20190220,294.0,20190221,303.0,1,303.0
8289,Olympicグループ,20190213,665.0,20190222,717.0,1,717.0
3799,キーウェアソリューションズ,20190214,457.0,20190222,469.0,1,469.0
8289,Olympicグループ,20190215,669.0,20190222,717.0,1,717.0
1860,戸田建設,20190218,694.0,20190222,690.0,1,690.0
3261,グランディーズ,20190219,442.0,20190222,440.0,1,440.0
5388,クニミネ工業,20190220,819.0,20190222,824.0,1,824.0
6335,東京機械製作所,20190220,399.0,20190222,405.0,1,405.0
7501,ティムコ,20190220,542.0,20190222,544.0,1,544.0
7150,島根銀行,20190221,702.0,20190222,701.0,1,701.0
8692,だいこう証券ビジネス,20190214,400.0,20190225,440.0,1,440.0
2789,カルラ,20190218,497.0,20190226,473.0,1,473.0
3321,ミタチ産業,20190218,723.0,20190226,731.0,1,731.0
6618,大泉製作所,20190219,697.0,20190226,699.0,1,699.0
4556,カイノス,20190220,916.0,20190226,943.0,1,943.0
7502,プラザクリエイト本社,20190225,343.0,20190226,334.0,1,334.0
4987,寺岡製作所,20190222,529.0,20190227,536.0,1,536.0
2903,シノブフーズ,20190207,667.0,20190228,747.0,1,747.0
6912,菊水電子工業,20190218,766.0,20190228,823.0,1,823.0
3853,アステリア,20190226,830.0,20190228,806.0,1,806.0
4696,ワタベウェディング,20190226,686.0,20190228,684.0,1,684.0
3321,ミタチ産業,20190227,732.0,20190228,729.0,1,729.0
3853,アステリア,20190227,832.0,20190228,806.0,1,806.0
6493,日鍛バルブ,20190214,324.0,20190301,351.0,1,351.0
2179,成学社,20190220,953.0,20190301,974.0,1,974.0
3059,ヒラキ,20190221,977.0,20190301,1000.0,1,1000.0
3096,オーシャンシステム,20190228,915.0,20190304,915.0,1,915.0
6072,地盤ネットホールディングス,20190301,187.0,20190304,189.0,1,189.0
3529,アツギ,20190221,961.0,20190305,999.0,1,999.0
1430,ファーストコーポレーション,20190225,749.0,20190305,837.0,1,837.0
9930,北沢産業,20190226,267.0,20190305,273.0,1,273.0
5010,日本精蝋,20190227,247.0,20190305,246.0,1,246.0
3645,メディカルネット,20190304,589.0,20190305,590.0,1,590.0
8131,ミツウロコグループホールディングス,20190304,800.0,20190306,792.0,1,792.0
6659,メディアリンクス,20190228,299.0,20190307,306.0,1,306.0
3153,八洲電機,20190301,821.0,20190307,828.0,1,828.0
6205,OKK,20190304,837.0,20190307,827.0,1,827.0
3030,ハブ,20190306,956.0,20190307,946.0,1,946.0
2376,サイネックス,20190221,690.0,20190308,717.0,1,717.0
9428,クロップス,20190304,661.0,20190308,639.0,1,639.0
3865,北越コーポレーション,20190305,611.0,20190308,611.0,1,611.0
3169,ミサワ,20190311,427.0,20190312,435.0,1,435.0
3179,シュッピン,20190311,766.0,20190312,797.0,1,797.0
8127,ヤマトインターナショナル,20190311,421.0,20190313,426.0,1,426.0
6240,ヤマシンフィルタ,20190312,691.0,20190313,698.0,1,698.0
7222,日産車体,20190312,991.0,20190313,961.0,1,961.0
5933,アルインコ,20190312,988.0,20190314,1003.0,1,1003.0
2114,フジ日本精糖,20190313,608.0,20190318,608.0,1,608.0
3153,八洲電機,20190312,827.0,20190319,827.0,1,827.0
2485,ティア,20190312,657.0,20190320,663.0,1,663.0
9904,ベリテ,20190315,413.0,20190320,415.0,1,415.0
6776,天昇電気工業,20190311,244.0,20190322,289.0,1,289.0
4080,田中化学研究所,20190315,912.0,20190322,915.0,1,915.0
9306,東陽倉庫,20190312,314.0,20190325,312.0,1,312.0
6535,アイモバイル,20190313,838.0,20190325,996.0,1,996.0
6912,菊水電子工業,20190313,799.0,20190325,823.0,1,823.0
3861,王子ホールディングス,20190314,658.0,20190325,694.0,1,694.0
6428,オーイズミ,20190314,362.0,20190325,362.0,1,362.0
9306,東陽倉庫,20190315,318.0,20190325,312.0,1,312.0
1840,土屋ホールディングス,20190318,162.0,20190325,163.0,1,163.0
5930,文化シヤッター,20190318,808.0,20190325,814.0,1,814.0
6381,アネスト岩田,20190318,978.0,20190325,936.0,1,936.0
7927,ムトー精工,20190318,578.0,20190325,588.0,1,588.0
8550,栃木銀行,20190318,236.0,20190325,234.0,1,234.0
6542,FCホールディングス,20190319,752.0,20190325,752.0,1,752.0
7189,西日本フィナンシャルホールディングス,20190319,977.0,20190325,946.0,1,946.0
3834,朝日ネット,20190320,519.0,20190325,522.0,1,522.0
1719,安藤・間,20190322,767.0,20190325,760.0,1,760.0
1873,日本ハウスホールディングス,20190322,447.0,20190325,443.0,1,443.0
6381,アネスト岩田,20190322,983.0,20190325,936.0,1,936.0
7885,タカノ,20190322,857.0,20190325,845.0,1,845.0
8089,すてきナイスグループ,20190322,883.0,20190325,886.0,1,886.0
9358,宇徳,20190322,549.0,20190325,552.0,1,552.0
8247,大和,20190325,554.0,20190326,549.0,1,549.0
6254,野村マイクロ・サイエンス,20190315,691.0,20190327,691.0,1,691.0
2773,ミューチュアル,20190320,915.0,20190327,902.0,1,902.0
5185,フコク,20190320,869.0,20190327,872.0,1,872.0
6254,野村マイクロ・サイエンス,20190320,695.0,20190327,691.0,1,691.0
8596,九州リースサービス,20190320,697.0,20190327,699.0,1,699.0
3512,日本フエルト,20190326,463.0,20190327,463.0,1,463.0
4999,セメダイン,20190326,888.0,20190327,860.0,1,860.0
6236,NCホールディングス,20190326,503.0,20190327,523.0,1,523.0
2198,アイ・ケイ・ケイ,20190315,736.0,20190328,776.0,1,776.0
5208,有沢製作所,20190322,820.0,20190328,777.0,1,777.0
5930,文化シヤッター,20190326,815.0,20190328,804.0,1,804.0
6493,日鍛バルブ,20190326,345.0,20190328,345.0,1,345.0
2489,アドウェイズ,20190327,410.0,20190328,410.0,1,410.0
7814,日本創発グループ,20190327,780.0,20190328,764.0,1,764.0
7818,トランザクション,20190327,741.0,20190328,743.0,1,743.0
3321,ミタチ産業,20190326,731.0,20190329,732.0,1,732.0
7041,CRGホールディングス,20190329,997.0,20190402,1011.0,1,1011.0
4658,日本空調サービス,20190401,683.0,20190402,686.0,1,686.0
6535,アイモバイル,20190401,925.0,20190402,912.0,1,912.0
6858,小野測器,20190401,618.0,20190402,613.0,1,613.0
9651,日本プロセス,20190329,740.0,20190403,748.0,1,748.0
4033,日東エフシー,20190326,774.0,20190404,842.0,1,842.0
4838,スペースシャワーネットワーク,20190327,616.0,20190404,603.0,1,603.0
2134,燦キャピタルマネージメント,20190404,69.0,20190405,69.0,1,69.0
7940,ウェーブロックホールディングス,20190401,847.0,20190408,898.0,1,898.0
3607,クラウディアホールディングス,20190405,480.0,20190408,486.0,1,486.0
2296,伊藤ハム米久ホールディングス,20190404,685.0,20190409,683.0,1,683.0
1870,矢作建設工業,20190405,784.0,20190409,774.0,1,774.0
4640,アンドール,20190409,453.0,20190410,460.0,1,460.0
2533,オエノンホールディングス,20190415,399.0,20190416,398.0,1,398.0
5406,神戸製鋼所,20190415,857.0,20190416,871.0,1,871.0
8944,ランドビジネス,20190411,793.0,20190417,783.0,1,783.0
4762,エックスネット,20190415,919.0,20190417,911.0,1,911.0
4770,図研エルミック,20190416,334.0,20190417,335.0,1,335.0
5959,岡部,20190412,985.0,20190418,998.0,1,998.0
4556,カイノス,20190415,975.0,20190418,950.0,1,950.0
2479,ジェイテック,20190416,288.0,20190418,283.0,1,283.0
2489,アドウェイズ,20190417,410.0,20190418,406.0,1,406.0
6747,KIホールディングス,20190417,299.0,20190418,297.0,1,297.0
7953,菊水化学工業,20190417,401.0,20190422,407.0,1,407.0
6240,ヤマシンフィルタ,20190419,730.0,20190423,744.0,1,744.0
3160,大光,20190423,686.0,20190424,680.0,1,680.0
6091,ウエスコホールディングス,20190423,344.0,20190424,342.0,1,342.0
9837,モリト,20190423,840.0,20190424,837.0,1,837.0
5009,富士興産,20190422,693.0,20190426,701.0,1,701.0
6748,星和電機,20190422,497.0,20190426,506.0,1,506.0
7314,小田原機器,20190422,678.0,20190426,675.0,1,675.0
3384,アークコア,20190424,435.0,20190426,437.0,1,437.0
5121,藤倉コンポジット,20190424,444.0,20190507,462.0,1,462.0
5237,ノザワ,20190426,762.0,20190507,764.0,1,764.0
3280,エストラスト,20190507,727.0,20190508,705.0,1,705.0
3159,丸善CHIホールディングス,20190423,365.0,20190509,370.0,1,370.0
2499,日本和装ホールディングス,20190507,329.0,20190509,325.0,1,325.0
3955,イムラ封筒,20190509,613.0,20190510,613.0,1,613.0
6928,エノモト,20190510,904.0,20190513,821.0,1,821.0
4776,サイボウズ,20190510,994.0,20190514,1019.0,1,1019.0
3384,アークコア,20190513,439.0,20190514,435.0,1,435.0
7501,ティムコ,20190514,576.0,20190516,579.0,1,579.0
9325,ファイズ,20190514,827.0,20190516,856.0,1,856.0
3041,ビューティ花壇,20190515,337.0,20190516,310.0,1,310.0
3242,アーバネットコーポレーション,20190515,344.0,20190516,347.0,1,347.0
4642,オリジナル設計,20190515,824.0,20190516,823.0,1,823.0
3384,アークコア,20190516,440.0,20190517,434.0,1,434.0
8891,エムジーホーム,20190509,647.0,20190520,658.0,1,658.0
6982,リード,20190517,383.0,20190520,392.0,1,392.0
3751,日本アジアグループ,20190517,334.0,20190521,337.0,1,337.0
4642,オリジナル設計,20190517,825.0,20190521,835.0,1,835.0
7879,ノダ,20190515,776.0,20190522,785.0,1,785.0
9797,大日本コンサルタント,20190521,569.0,20190522,567.0,1,567.0
3271,THEグローバル社,20190520,539.0,20190523,538.0,1,538.0
4762,エックスネット,20190522,919.0,20190523,919.0,1,919.0
6293,日精樹脂工業,20190524,953.0,20190527,942.0,1,942.0
3232,三重交通グループホールディングス,20190516,580.0,20190528,602.0,1,602.0
9885,シャルレ,20190527,421.0,20190529,421.0,1,421.0
