SC,名称,ema26,ema12
4968,荒川化学工業,1280.5917699032698,1272.4409830878221
4970,東洋合成工業,7313.07474942615,7862.589768999911
4971,メック,1952.3403460061752,2005.1898092330441
4972,綜研化学,1133.9560212242284,1146.1750773700026
4973,日本高純度化学,2605.18587710875,2599.396502889045
4974,タカラバイオ,2836.5945431889063,3024.5744382484068
4975,JCU,3038.0930143526666,3167.2714489915984
4976,東洋ドライルーブ,,
4977,新田ゼラチン,706.3296601813324,715.338970642863
4978,リプロセル,449.51874121940824,469.32482540301163
4979,OATアグリオ,1111.8875164523813,1135.1906446401124
4980,デクセリアルズ,832.3674584244394,860.7275570369457
4985,アース製薬,6854.344234676216,7158.149791851673
4987,寺岡製作所,361.3739839715772,371.7570672342874
4990,昭和化学工業,591.5942015185376,623.2604368788105
4992,北興化学工業,602.9130730962457,612.215791250864
4994,大成ラミック,2699.4360671721047,2734.552433836936
4995,サンケイ化学,,
4996,クミアイ化学工業,870.244198328403,881.6972992877438
4997,日本農薬,475.33222240946793,488.2689034117323
4998,フマキラー,1691.8316765549591,1827.1912981324074
4999,セメダイン,691.108095050926,696.201626594077
5008,東亜石油,1841.110910909179,1886.4237017387325
5009,富士興産,482.3114752577668,495.0792664830404
5010,日本精蝋,206.33583826597962,210.83686312215352
5011,ニチレキ,1575.6423616906227,1631.0931483340028
5013,ユシロ化学工業,1245.3713122507097,1279.4761986640474
5015,ビーピー・カストロール,1244.4655254053841,1268.7007823812055
5017,富士石油,184.18390438461986,185.4623140020626
5018,MORESCO,1028.7804323013333,1065.2583508366158
5019,出光興産,2427.9821557459736,2406.5556553214487
5020,JXTGホールディングス,406.07282435537206,413.284178372317
5021,コスモエネルギーホールディングス,1683.3856374855932,1708.6328783428337
5101,横浜ゴム,1580.53090542025,1648.4393485178678
5103,昭和ホールディングス,52.51754425691319,55.07446773417906
5104,日東化工,453.2802452893,463.75371843784814
5105,TOYO_TIRE,1476.4725924887096,1535.2105284192323
5108,ブリヂストン,3510.5569613350585,3601.7437502594125
5110,住友ゴム工業,1113.0485942173643,1149.5279821096888
5121,藤倉コンポジット,374.2290320291632,377.4971793096864
5122,オカモト,3985.775464804247,3949.8383257489636
5142,アキレス,1669.0050017970289,1699.3980823340212
5161,西川ゴム工業,1260.3652940610436,1295.6198476942063
5162,朝日ラバー,581.0069969279202,593.7507664589092
5184,ニチリン,1373.3073215270144,1424.3811867001925
5185,フコク,662.5759565821181,681.9218879065812
5186,ニッタ,2220.8485627003165,2299.621449251536
5187,クリエートメディック,992.9051501703766,987.513933243695
5189,櫻護謨,,
5191,住友理工,635.7262885646294,660.7498149735445
5192,三ツ星ベルト,1630.0988230130276,1706.2097756421133
5194,相模ゴム工業,1697.5946047263408,1690.660554086956
5195,バンドー化学,637.0040638102593,642.3258764154093
5199,不二ラテックス,,
5201,AGC,3125.229863932841,3292.82772207864
5202,日本板硝子,413.9167578266582,439.3726485992971
5204,石塚硝子,2113.0818974993917,2106.6594970386823
5208,有沢製作所,809.9759105829021,814.7171857647322
5210,日本山村硝子,862.7130104015641,873.3585516322113
5212,不二硝子,,
5214,日本電気硝子,1710.0351943874055,1784.5982464055894
5216,倉元製作所,154.5309227464009,157.9972680674371
5217,テクノクオーツ,,
5218,オハラ,1009.4690762422024,1061.1346032303045
5232,住友大阪セメント,3761.3624737027862,3832.3786932604617
5233,太平洋セメント,2461.9540958396337,2560.844458190028
5237,ノザワ,578.7450198945434,580.5890859228065
5261,リソルホールディングス,3452.5494846297734,3480.743811100495
5262,日本ヒューム,704.9738649954761,732.6666484543708
5268,旭コンクリート工業,,
5269,日本コンクリート工業,269.4417516565852,274.398508783933
5271,トーヨーアサノ,1558.931978765215,1596.3274106415565
5273,三谷セキサン,5052.052291883284,5197.224609214196
5277,スパンクリートコーポレーション,,
5279,日本興業,731.0691485211215,746.2404494424729
