SC,名称_x,20200612,株価,compare,rate,名称_y,市場,業種,時価総額（百万円）,発行済株式数,配当利回り,1株配当,PER（予想）,PBR（実績）,EPS（予想）,BPS（実績）,最低購入額,単元株,高値日付,年初来高値,安値日付,年初来安値,reserve_price
4208,宇部興産,1873.6,1873.0,0.599999999999909,0.0003202391118701479,宇部興産,東証一部,化学,198913,106200107,4.81,90,13.53,0.57,138.47,3287.73,187300,100,2020/1/20,2397,2020/3/17,1434,1871.0
6870,日本フェンオール,1300.4,1300.0,0.40000000000009095,0.00030759766225783673,日本フェンオール,東証二部,電気機器,7661,5893000,3.85,50,12.61,0.65,103.06,1993.51,130000,100,2020/1/7,1488,2020/3/17,901,1294.0
1434,JESCOホールディングス,332.12,332.0,0.12000000000000455,0.00036131518728171907,JESCOホールディングス,東証二部,建設,2184,6578300,3.61,12,12.12,0.69,27.39,478.29,33200,100,2020/1/7,570,2020/3/13,210,331.0
