SC,名称,buy_date,buy_price,sell_date,sell_price,flg,株価
4042,東ソー,20200107,1684.0,20200108,1628.0,1.0,1628.0
4676,フジ・メディア・ホールディングス,20200107,1535.0,20200108,1541.0,1.0,1541.0
7305,新家工業,20200107,1457.0,20200108,1453.0,1.0,1453.0
8793,NECキャピタルソリューション,20200109,2483.0,20200114,2504.0,1.0,2504.0
1860,戸田建設,20200110,719.0,20200114,715.0,1.0,715.0
6932,遠藤照明,20200110,714.0,20200115,718.0,1.0,718.0
2674,ハードオフコーポレーション,20200109,818.0,20200116,821.0,1.0,821.0
5185,フコク,20200109,727.0,20200116,737.0,1.0,737.0
1847,イチケン,20200115,1801.0,20200116,1798.0,1.0,1798.0
4539,日本ケミファ,20200116,2927.0,20200120,3060.0,1.0,3060.0
8725,MS＆ADインシュアランスグループホールディングス,20200117,3647.0,20200121,3662.0,1.0,3662.0
6121,滝澤鉄工所,20200115,1390.0,20200123,1388.0,1.0,1388.0
8225,タカチホ,20200120,1526.0,20200123,1650.0,1.0,1650.0
8904,AVANTIA,20200122,1027.0,20200123,1005.0,1.0,1005.0
9934,因幡電機産業,20200122,2771.0,20200123,2780.0,1.0,2780.0
4620,藤倉化成,20200123,580.0,20200124,573.0,1.0,573.0
1905,テノックス,20200117,899.0,20200127,942.0,1.0,942.0
1905,テノックス,20200120,901.0,20200127,942.0,1.0,942.0
6364,北越工業,20200124,1322.0,20200127,1305.0,1.0,1305.0
6623,愛知電機,20200116,2795.0,20200128,2857.0,1.0,2857.0
7472,鳥羽洋行,20200129,3007.0,20200130,2981.0,1.0,2981.0
8001,伊藤忠商事,20200129,2562.0,20200130,2541.5,1.0,2541.5
6392,ヤマダコーポレーション,20200130,2784.0,20200131,2770.0,1.0,2770.0
7811,中本パックス,20200131,1627.0,20200203,1626.0,1.0,1626.0
9351,東洋埠頭,20200131,1411.0,20200203,1396.0,1.0,1396.0
9074,日本石油輸送,20200130,2907.0,20200205,2955.0,1.0,2955.0
5742,エヌアイシ・オートテック,20200204,865.0,20200205,869.0,1.0,869.0
3591,ワコールホールディングス,20200205,2971.0,20200207,3005.0,1.0,3005.0
7513,コジマ,20200206,531.0,20200207,519.0,1.0,519.0
1972,三晃金属工業,20200204,2632.0,20200210,2644.0,1.0,2644.0
