SC,名称,ema26,ema12
1301,極洋,2694.7239064664345,2725.7192746387996
1332,日本水産,493.44094908220484,501.3838059774125
1333,マルハニチロ,2297.7336534206875,2307.226697560757
1352,ホウスイ,902.5337419098033,919.9106239379008
1376,カネコ種苗,1439.7614667904588,1434.6203206180548
1377,サカタのタネ,3571.8018811420034,3568.3551126679663
1379,ホクト,1981.0178109891744,1987.835352804809
1380,秋川牧園,810.925547602062,813.5467899329552
1381,アクシーズ,2616.269608713478,2703.4020142654153
1382,ホーブ,903.7282317013655,913.3031944523958
1383,ベルグアース,2112.483709980599,2104.0623037229543
1384,ホクリヨウ,638.1679204525132,643.7425501648469
1400,ルーデン・ホールディングス,186.87773648546215,200.3233736057563
1401,エムビーエス,724.6577345647544,733.574273027935
1407,ウエストホールディングス,1822.5775373647032,1855.3238001971135
1413,ヒノキヤグループ,1688.11935094766,1754.0868589182967
1414,ショーボンドホールディングス,4791.819409103128,4922.999038271135
1417,ミライト・ホールディングス,1486.6636646908078,1508.7727128947781
1418,インターライフホールディングス,186.89690185306878,189.357880616365
1419,タマホーム,1295.9135416485967,1287.397294504235
1420,サンヨーホームズ,629.4134864293881,638.8800268674237
1429,日本アクア,597.7900931834007,595.1870340090476
1430,ファーストコーポレーション,532.0739695460726,552.1076503164538
1431,Lib_Work,1770.8113497880809,1893.7015761868088
1433,ベステラ,1041.3091137710837,1065.1613627066376
1434,JESCOホールディングス,328.28911708834346,338.55250186223793
1435,TATERU,161.76456326712034,172.73835881245944
1436,フィット,557.6257083294762,575.6715936383582
1438,岐阜造園,,
1439,安江工務店,,
1443,技研ホールディングス,315.1387043958743,318.81715054705734
1446,キャンディル,518.6667105094291,531.4992601737032
1447,ITbookホールディングス,476.8494116331385,500.6778196916123
1448,スペースバリューホールディングス,365.09161835698444,371.0813255267833
1449,FUJIジャパン,,
1450,田中建設工業,,
1451,KHC,588.013363717293,606.1611540574373
1491,中外鉱業,17.094671260749696,17.43211802498354
1514,住石ホールディングス,116.59389924044251,118.5615129307617
1515,日鉄鉱業,4504.787159550746,4506.849287587815
1518,三井松島ホールディングス,874.7247958235239,887.919237821974
1605,国際石油開発帝石,739.6045142651298,756.2967148252578
1662,石油資源開発,2027.2256183161226,2055.191663910959
1663,K＆Oエナジーグループ,1549.4742116155571,1541.447982134015
1711,省電舎ホールディングス,298.4846621777541,312.8910473117747
1712,ダイセキ環境ソリューション,1004.4963281685507,1004.0096356778699
1716,第一カッター興業,1902.1408252556882,2015.1644207925974
1717,明豊ファシリティワークス,555.9570256030139,563.1677893303034
1718,美樹工業,,
1719,安藤・間,683.4893179709863,685.3558621779378
1720,東急建設,580.2200965315556,587.2360136542335
1721,コムシスホールディングス,2969.8844905214255,2988.2263032187325
1722,ミサワホーム,,
1723,日本電技,3218.6438339053275,3206.811174824971
1724,シンクレイヤ,848.7226136900002,853.5657401483364
1726,ビーアールホールディングス,546.8261081976876,560.2823140297777
1728,ミサワホーム中国,244.06316505421563,249.338788117902
1730,麻生フオームクリート,,
1736,オーテック,,
1737,三井金属エンジニアリング,780.2043464366739,807.6165847121314
1738,NITTOH,,
1739,シード平和,703.8432375352488,717.4225793981378
1743,コーアツ工業,,
1757,クレアホールディングス,34.052937314960744,41.88758901280768
1758,太洋基礎工業,5443.338866931771,5693.134235591678
1762,高松コンストラクショングループ,2374.965399303627,2389.634841291725
1764,工藤建設,,
1766,東建コーポレーション,7354.459910539022,7347.883077191697
1768,ソネック,800.283903650882,824.3259166447523
1770,藤田エンジニアリング,707.0407725404577,729.7090588246083
1771,日本乾溜工業,,
1773,ワイ・ティー・エル・コーポレーション・バーハッド（外国株）,21.13884793442824,21.88752446481597
1775,富士古河E＆C,1837.7821895678562,1894.6021556441542
1776,三井住建道路,796.6010157763793,808.8707701345604
1777,川崎設備工業,,
1780,ヤマウラ,801.1851467534934,815.5448950964488
1782,常磐開発,,
1783,アジアゲートホールディングス,47.98962511440667,49.8798338544877
1787,ナカボーテック,,
1789,ETSホールディングス,809.6929888383712,829.4026564852795
1793,大本組,,
1798,守谷商会,,
1799,第一建設工業,,
1801,大成建設,3781.763406594238,3931.8773319293555
1802,大林組,1012.5903874526518,1043.3153976683482
1803,清水建設,894.8474481861273,910.6551659513956
1805,飛島建設,1103.1599599126716,1122.1108279881134
1807,佐藤渡辺,,
1808,長谷工コーポレーション,1297.248361443848,1342.9658387566774
1810,松井建設,645.5631703918201,657.1119116604333
1811,錢高組,3713.4697616167527,3810.296943921413
1812,鹿島建設,1224.3888929946363,1262.351980972374
1813,不動テトラ,1406.9370986989193,1437.4173740507697
1814,大末建設,781.7981740534433,799.7913936312536
1815,鉄建建設,2179.2980259735964,2171.2048028122617
1820,西松建設,2104.5829513330877,2121.5018361398425
1821,三井住友建設,464.1256639714545,475.6709484064164
1822,大豊建設,2436.586086306889,2460.514621157648
1824,前田建設工業,853.7491140910737,861.1515976845634
1826,佐田建設,402.14510868170345,411.10051662416436
1827,ナカノフドー建設,380.59743091167564,385.61294353242994
1828,田辺工業,719.43625772008,729.9749597523969
1833,奥村組,2529.3209824126707,2573.720572935974
1835,東鉄工業,2784.2657391533885,2786.17945428451
1840,土屋ホールディングス,145.21624230104297,148.6277737744589
1841,サンユー建設,,
1844,大盛工業,224.33669728164185,231.02165199767046
1847,イチケン,1468.9468915138395,1541.0346788777415
1848,富士ピー・エス,553.4147019814874,568.0191583073208
1850,南海辰村建設,283.5294877833301,291.44594061201315
1852,淺沼組,4089.7946406458445,4251.671385693452
1853,森組,256.17139385771134,260.4715671562084
1860,戸田建設,677.0077381206157,696.7208024404475
1861,熊谷組,2577.96482758878,2643.8541891862164
1866,北野建設,2609.919242656197,2634.330390048972
1867,植木組,2459.908266939715,2463.527571305201
1869,名工建設,,
1870,矢作建設工業,777.1676748779006,784.3764059038601
1871,ピーエス三菱,547.9341127188911,549.765189523684
1873,日本ハウスホールディングス,298.6224847794135,300.03056314597364
1878,大東建託,11147.997087142516,11362.303227265757
1879,新日本建設,792.3097716548411,812.0837785354313
1881,NIPPO,2577.089243565282,2613.850345465733
1882,東亜道路工業,3179.815358994014,3234.582136143951
1883,前田道路,2071.050435354858,2099.9834378519217
1884,日本道路,7110.931906451205,7325.92783351019
1885,東亜建設工業,1554.774502995825,1582.1939684709926
1887,日本国土開発,547.4776605725526,544.5549781077642
1888,若築建設,1181.7329473752247,1190.5880156604737
1890,東洋建設,422.4382896613247,418.71027769153164
1892,徳倉建設,,
1893,五洋建設,564.5880098885073,573.1531229559639
1898,世紀東急工業,767.6839563612922,759.9803711505313
1899,福田組,4722.511748366789,4876.509753144647
1904,大成温調,1845.3592167413958,1868.493436048832
1905,テノックス,815.4011984233314,829.6010744266748
1906,細田工務店,,
1909,日本ドライケミカル,1548.687355722858,1616.9123473469638
1911,住友林業,1317.8807399951786,1325.784050569305
1914,日本基礎技術,416.78395356886267,421.6407892753775
1921,巴コーポレーション,374.94133398118174,385.24798412232013
1925,大和ハウス工業,2742.792916150981,2806.791414587066
1926,ライト工業,1458.2833421292733,1498.9866925836118
1928,積水ハウス,2013.242830945533,2082.6826632226594
1929,日特建設,722.7759811917152,728.3569032390719
1930,北陸電気工事,929.2447045321369,934.3717777423268
1934,ユアテック,618.3138753902314,627.34811407016
1938,日本リーテック,2088.0757473144718,2147.1929391686576
1939,四電工,2374.8495483602755,2414.8941564239
1941,中電工,2261.263359267825,2285.7854827323035
1942,関電工,952.7801866500809,970.1738043507762
1944,きんでん,1778.1682548093222,1800.8348950341222
1945,東京エネシス,772.8762292664281,787.6217563065552
1946,トーエネック,3604.0758167119548,3679.922236537065
1948,弘電社,,
1949,住友電設,2432.6554035365843,2435.921807174077
1950,日本電設工業,2338.652136212349,2404.413515697519
1951,協和エクシオ,2485.9614464361694,2494.321789342155
1952,新日本空調,2430.74048014891,2502.596965032165
1954,日本工営,3122.3061552270838,3162.9314496964093
1959,九電工,2966.094586630451,3002.4261706355637
1960,サンテック,601.0386939286992,608.0543102462244
1961,三機工業,1302.9298824787334,1316.5505981407312
1963,日揮ホールディングス,1139.8498791096329,1188.3715594143323
1964,中外炉工業,1586.6559937330223,1604.119001915727
1965,テクノ菱和,832.238883914946,844.0320313182812
1966,高田工業所,801.5702979609155,823.6034733567682
1967,ヤマト,651.4607223742628,654.179679489907
1968,太平電業,2336.534224256674,2360.684769689273
1969,高砂熱学工業,1775.8013196382942,1815.4470308113714
1971,中央ビルト工業,,
1972,三晃金属工業,2115.000594610205,2139.024052571203
1973,NECネッツエスアイ,3244.2327540888527,2469.313184853838
1975,朝日工業社,3058.7396173015895,3067.311006427044
1976,明星工業,775.9760228423334,784.1769267755909
1979,大氣社,3207.4777945311516,3232.0111285743287
1980,ダイダン,2817.872308810262,2857.5719061872965
1981,協和日成,,
1982,日比谷総合設備,1862.0419535731198,1860.103688918375
1983,東芝プラントシステム,,
1992,神田通信機,,
1994,高橋カーテンウォール工業,487.58352909162994,500.4838685934714
1997,暁飯島工業,1240.1706784933342,1247.2753839725308
1999,サイタホールディングス,,
2001,日本製粉,1629.9814303347398,1617.6866708671046
2002,日清製粉グループ本社,1695.8991083346602,1707.617436513254
2003,日東富士製粉,6063.84933696247,6126.540322963327
2004,昭和産業,3245.9843796356945,3248.0001849974797
2009,鳥越製粉,891.4113520040795,899.4610737617519
2053,中部飼料,1632.7678758217216,1650.8641046646396
2055,日和産業,272.3308430412884,277.0619946522033
2058,ヒガシマル,,
2060,フィード・ワン,185.4786787076553,191.3528680950514
2107,東洋精糖,1232.8639676985597,1251.5015166851547
2108,日本甜菜製糖,1704.9021558719116,1713.4298925674484
2109,三井製糖,2100.0218510477926,2085.506299497252
2112,塩水港精糖,209.19561249559177,211.1634267841495
2114,フジ日本精糖,510.64891429825235,513.4520163821813
2117,日新製糖,1938.3319435987949,1945.3180335794962
2120,LIFULL,411.2511786866281,425.3678739017414
2121,ミクシィ,1767.949276747797,1746.7815125936406
2122,インタースペース,997.8479789652858,1026.287731036909
2124,ジェイエイシーリクルートメント,1284.920715191554,1299.7543692369652
2127,日本M＆Aセンター,4270.5430421064475,4575.8014969941105
2130,メンバーズ,1695.6628804315942,1707.2492020379457
2134,燦キャピタルマネージメント,91.320956382658,101.02837735812587
2136,ヒップ,614.279667920741,629.0942290044055
2137,光ハイツ・ヴェラス,,
2138,クルーズ,1062.7493862637505,1088.1618269882133
2139,中広,528.3528968632253,544.741544451963
2146,UTグループ,2063.143947898266,2254.390424105826
2148,アイティメディア,1163.804335669549,1289.3159064139688
2150,ケアネット,1138.6815904740893,1218.1547870112165
2151,タケエイ,924.4670531232623,956.0383976509535
2152,幼児活動研究会,887.3721207376127,903.729835895934
2153,E・Jホールディングス,1508.7270687630605,1521.1009543685423
2154,トラスト・テック,826.683069062734,885.7787058093965
2157,コシダカホールディングス,504.3350226251828,514.8562019557736
2158,FRONTEO,673.5922260509466,799.5418020373784
2159,フルスピード,489.48504954010474,527.9272493082009
2160,ジーエヌアイグループ,1646.7990751350721,1683.9958955735738
2162,nmsホールディングス,302.869119242685,307.20457452731495
2163,アルトナー,789.7905514326452,845.9584561404408
2164,地域新聞社,655.2505573307363,683.6496186109333
2168,パソナグループ,1214.8125518284032,1251.1810908624755
2169,CDS,1288.876626642566,1300.9586187479117
2170,リンクアンドモチベーション,428.0022669339822,448.0597729548
2172,インサイト,322.276828563329,331.3757822691547
2173,博展,483.5080101682437,504.5219717296204
2174,GCA,659.3479240685481,669.3047802096122
2175,エス・エム・エス,2574.9256322622527,2633.2104736644405
2176,イナリサーチ,703.8306454630772,712.5724289203722
2178,トライステージ,308.44765825963947,319.7747189617866
2179,成学社,775.6242450491557,795.8881907945903
2180,サニーサイドアップ,782.5208429243422,823.7628776129683
2181,パーソルホールディングス,1389.837114941292,1456.3182459307743
2183,リニカル,933.1804305619577,932.9071958792941
2185,シイエム・シイ,2116.6644124853956,2153.324975962316
2186,ソーバル,1022.7351772789316,1048.7953425626845
2191,テラ,1084.3395502542933,1394.9826992352703
2193,クックパッド,309.6368198321106,309.69343350151087
2195,アミタホールディングス,,
2196,エスクリ,436.02178469657565,449.1494624575826
2198,アイ・ケイ・ケイ,610.3042302075631,606.5942835082782
2201,森永製菓,4440.893791487861,4405.416552626186
2204,中村屋,4025.8143266558413,4068.727848362911
2206,江崎グリコ,5086.587582676182,5171.962160507593
2207,名糖産業,1299.0862443708356,1303.6526865762619
2208,ブルボン,1799.2119898896512,1798.8585348711256
2209,井村屋グループ,1998.898618018689,2029.202258861377
2211,不二家,2140.196424023602,2184.44404879148
2212,山崎製パン,1914.1021072148305,1875.5155486681113
2215,第一屋製パン,946.3125734696166,957.3420819528759
2216,カンロ,1483.0151652006177,1491.650409915989
2217,モロゾフ,5687.268743563298,5712.629003429889
2220,亀田製菓,5271.357060189639,5304.292506040897
2221,岩塚製菓,3538.0731831299277,3637.6921783066796
2222,寿スピリッツ,5079.103226234695,5166.680659573272
2224,コモ,2421.73370416228,2415.5330455269095
2226,湖池屋,,
2229,カルビー,3071.913881169192,3047.3381934075683
2264,森永乳業,4409.427865960393,4464.394856110846
2266,六甲バター,1501.0934202621545,1538.4196894709657
2267,ヤクルト本社,6639.725388722685,6754.860447289571
2268,B-Rサーティワンアイスクリーム,,
2269,明治ホールディングス,7977.657193486727,8170.698920116147
2270,雪印メグミルク,2584.3409333003715,2612.3429781149775
2281,プリマハム,2552.5389342770413,2615.7987443028137
