SC,名称,buy_date,buy_price,sell_date,sell_price,flg,株価
4042,東ソー,20200107,1684.0,20200108,1628.0,1,1628.0
4676,フジ・メディア・ホールディングス,20200107,1535.0,20200108,1541.0,1,1541.0
6722,エイアンドティー,20200107,1356.0,20200108,1371.0,1,1371.0
9755,応用地質,20200107,1476.0,20200108,1441.0,1,1441.0
1961,三機工業,20200109,1523.0,20200114,1529.0,1,1529.0
6381,アネスト岩田,20200110,1049.0,20200114,1042.0,1,1042.0
6932,遠藤照明,20200110,714.0,20200115,718.0,1,718.0
1808,長谷工コーポレーション,20200109,1459.0,20200116,1458.0,1,1458.0
2674,ハードオフコーポレーション,20200109,818.0,20200116,821.0,1,821.0
1847,イチケン,20200115,1801.0,20200116,1798.0,1,1798.0
6303,ササクラ,20200107,2392.0,20200117,2405.0,1,2405.0
7628,オーハシテクニカ,20200109,1481.0,20200117,1562.0,1,1562.0
4539,日本ケミファ,20200116,2927.0,20200120,3060.0,1,3060.0
8725,MS＆ADインシュアランスグループホールディングス,20200117,3647.0,20200121,3662.0,1,3662.0
4206,アイカ工業,20200120,3604.0,20200121,3560.0,1,3560.0
3564,LIXILビバ,20200114,1960.0,20200122,1994.0,1,1994.0
8135,ゼット,20200114,260.0,20200123,263.0,1,263.0
6121,滝澤鉄工所,20200115,1390.0,20200123,1388.0,1,1388.0
8225,タカチホ,20200120,1526.0,20200123,1650.0,1,1650.0
9934,因幡電機産業,20200122,2771.0,20200123,2780.0,1,2780.0
5393,ニチアス,20200116,2730.0,20200124,2795.0,1,2795.0
7298,八千代工業,20200116,702.0,20200124,711.0,1,711.0
4620,藤倉化成,20200123,580.0,20200124,573.0,1,573.0
1905,テノックス,20200120,901.0,20200127,942.0,1,942.0
7970,信越ポリマー,20200121,1044.0,20200127,1034.0,1,1034.0
1515,日鉄鉱業,20200122,4962.0,20200127,4620.0,1,4620.0
4955,アグロカネショウ,20200122,1509.0,20200127,1464.0,1,1464.0
6364,北越工業,20200124,1322.0,20200127,1305.0,1,1305.0
5660,神鋼鋼線工業,20200120,1166.0,20200128,1165.0,1,1165.0
2804,ブルドックソース,20200128,1131.0,20200129,1140.0,1,1140.0
8184,島忠,20200128,3065.0,20200129,3115.0,1,3115.0
7472,鳥羽洋行,20200129,3007.0,20200130,2981.0,1,2981.0
8001,伊藤忠商事,20200129,2562.0,20200130,2541.5,1,2541.5
8908,毎日コムネット,20200129,919.0,20200130,911.0,1,911.0
9433,KDDI,20200129,3271.0,20200130,3273.0,1,3273.0
6392,ヤマダコーポレーション,20200130,2784.0,20200131,2770.0,1,2770.0
9519,レノバ,20200122,1166.0,20200203,1321.0,1,1321.0
7596,魚力,20200128,1582.0,20200203,1586.0,1,1586.0
9769,学究社,20200130,1415.0,20200203,1400.0,1,1400.0
7811,中本パックス,20200131,1627.0,20200203,1626.0,1,1626.0
9351,東洋埠頭,20200131,1411.0,20200203,1396.0,1,1396.0
9074,日本石油輸送,20200130,2907.0,20200205,2955.0,1,2955.0
8887,リベレステ,20200204,884.0,20200205,884.0,1,884.0
3591,ワコールホールディングス,20200205,2971.0,20200207,3005.0,1,3005.0
7513,コジマ,20200206,531.0,20200207,519.0,1,519.0
7711,助川電気工業,20200206,612.0,20200207,604.0,1,604.0
1972,三晃金属工業,20200204,2632.0,20200210,2644.0,1,2644.0
2139,中広,20200206,547.0,20200210,546.0,1,546.0
1925,大和ハウス工業,20200204,3448.0,20200212,3507.0,1,3507.0
5356,美濃窯業,20200204,474.0,20200213,480.0,1,480.0
2789,カルラ,20200205,508.0,20200213,507.0,1,507.0
7040,サン・ライフホールディング,20200206,978.0,20200213,984.0,1,984.0
5273,三谷セキサン,20200212,3799.0,20200213,3730.0,1,3730.0
5484,東北特殊鋼,20200206,1485.0,20200214,1505.0,1,1505.0
6032,インターワークス,20200212,546.0,20200214,547.0,1,547.0
3045,カワサキ,20200207,998.0,20200217,1000.0,1,1000.0
4464,ソフト99コーポレーション,20200210,1048.0,20200217,1071.0,1,1071.0
8869,明和地所,20200210,625.0,20200217,630.0,1,630.0
1930,北陸電気工事,20200214,1141.0,20200217,1135.0,1,1135.0
6144,西部電機,20200213,1065.0,20200218,1055.0,1,1055.0
6405,鈴茂器工,20200213,1767.0,20200218,1875.0,1,1875.0
5284,ヤマウ,20200219,414.0,20200220,413.0,1,413.0
9414,日本BS放送,20200219,1213.0,20200220,1234.0,1,1234.0
3276,日本管理センター,20200219,1340.0,20200221,1387.0,1,1387.0
4551,鳥居薬品,20200220,3603.0,20200225,3525.0,1,3525.0
3151,バイタルケーエスケー・ホールディングス,20200221,1048.0,20200225,1030.0,1,1030.0
8802,三菱地所,20200221,2140.0,20200225,2088.0,1,2088.0
4768,大塚商会,20200226,4767.0,20200227,4715.0,1,4715.0
8803,平和不動産,20200226,3319.0,20200227,3180.0,1,3180.0
9672,東京都競馬,20200302,3287.0,20200303,3270.0,1,3270.0
9984,ソフトバンクグループ,20200303,5049.0,20200304,5008.0,1,5008.0
4746,東計電算,20200304,4080.0,20200305,4110.0,1,4110.0
6035,アイ・アールジャパンホールディングス,20200305,6429.0,20200306,6140.0,1,6140.0
8036,日立ハイテク,20200302,7975.0,20200309,7980.0,1,7980.0
8036,日立ハイテク,20200304,7985.0,20200309,7980.0,1,7980.0
3486,グローバル・リンク・マネジメント,20200305,661.0,20200309,575.0,1,575.0
6998,日本タングステン,20200305,1993.0,20200309,1851.0,1,1851.0
2871,ニチレイ,20200309,2761.0,20200310,2783.0,1,2783.0
4434,サーバーワークス,20200310,12095.0,20200311,12670.0,1,12670.0
8740,フジトミ,20200311,344.0,20200313,330.0,1,330.0
8740,フジトミ,20200312,346.0,20200313,330.0,1,330.0
6889,オーデリック,20200316,6113.0,20200318,6030.0,1,6030.0
7462,ダイヤ通商,20200317,1873.0,20200318,1869.0,1,1869.0
3141,ウエルシアホールディングス,20200319,6380.0,20200325,6750.0,1,6750.0
8020,兼松,20200416,1057.0,20200417,1076.0,1,1076.0
8349,東北銀行,20200416,854.0,20200417,859.0,1,859.0
7525,リックス,20200416,1445.0,20200420,1426.0,1,1426.0
8012,長瀬産業,20200417,1237.0,20200420,1245.0,1,1245.0
8242,エイチ・ツー・オーリテイリング,20200417,789.0,20200420,793.0,1,793.0
1961,三機工業,20200420,1167.0,20200421,1174.0,1,1174.0
4825,ウェザーニューズ,20200415,3275.0,20200422,3380.0,1,3380.0
4205,日本ゼオン,20200423,805.0,20200424,823.0,1,823.0
4826,CIJ,20200423,755.0,20200424,772.0,1,772.0
9832,オートバックスセブン,20200423,1249.0,20200424,1252.0,1,1252.0
3023,ラサ商事,20200427,829.0,20200428,836.0,1,836.0
3564,LIXILビバ,20200423,1785.0,20200501,1833.0,1,1833.0
1964,中外炉工業,20200427,1456.0,20200501,1534.0,1,1534.0
6178,日本郵政,20200427,832.0,20200501,840.7,1,840.7
1890,東洋建設,20200430,427.0,20200501,421.0,1,421.0
8425,みずほリース,20200430,2067.0,20200501,2045.0,1,2045.0
9072,ニッコンホールディングス,20200430,2046.0,20200501,2068.0,1,2068.0
7840,フランスベッドホールディングス,20200428,866.0,20200507,860.0,1,860.0
8159,立花エレテック,20200428,1451.0,20200507,1488.0,1,1488.0
9414,日本BS放送,20200501,999.0,20200507,1007.0,1,1007.0
7681,レオクラン,20200507,1922.0,20200508,1841.0,1,1841.0
8242,エイチ・ツー・オーリテイリング,20200511,799.0,20200512,829.0,1,829.0
1801,大成建設,20200507,3245.0,20200513,3475.0,1,3475.0
3341,日本調剤,20200512,1680.0,20200513,1666.0,1,1666.0
8908,毎日コムネット,20200423,745.0,20200514,805.0,1,805.0
7607,進和,20200507,1709.0,20200514,1732.0,1,1732.0
8282,ケーズホールディングス,20200508,1117.0,20200514,1206.0,1,1206.0
6379,レイズネクスト,20200513,1199.0,20200514,1163.0,1,1163.0
2201,森永製菓,20200512,4470.0,20200515,4280.0,1,4280.0
4918,アイビー化粧品,20200508,792.0,20200518,834.0,1,834.0
7544,スリーエフ,20200513,296.0,20200518,297.0,1,297.0
4216,旭有機材,20200515,1305.0,20200518,1316.0,1,1316.0
6480,日本トムソン,20200515,362.0,20200518,359.0,1,359.0
4217,日立化成,20200512,4610.0,20200520,4615.0,1,4615.0
5949,ユニプレス,20200515,920.0,20200521,1017.0,1,1017.0
2344,平安レイサービス,20200519,815.0,20200521,819.0,1,819.0
2436,共同ピーアール,20200520,753.0,20200521,757.0,1,757.0
8418,山口フィナンシャルグループ,20200518,565.0,20200522,583.0,1,583.0
5807,東京特殊電線,20200521,2359.0,20200522,2324.0,1,2324.0
7721,東京計器,20200515,728.0,20200527,975.0,1,975.0
3360,シップヘルスケアホールディングス,20200526,4784.0,20200527,4640.0,1,4640.0
4658,日本空調サービス,20200519,697.0,20200529,726.0,1,726.0
8935,エフ・ジェー・ネクスト,20200519,795.0,20200529,883.0,1,883.0
2344,平安レイサービス,20200525,820.0,20200529,838.0,1,838.0
6480,日本トムソン,20200525,366.0,20200529,407.0,1,407.0
7840,フランスベッドホールディングス,20200527,874.0,20200529,842.0,1,842.0
7916,光村印刷,20200527,1568.0,20200529,1512.0,1,1512.0
9304,澁澤倉庫,20200528,2176.0,20200529,2124.0,1,2124.0
9956,バローホールディングス,20200521,1987.0,20200601,2073.0,1,2073.0
7879,ノダ,20200525,605.0,20200601,630.0,1,630.0
4553,東和薬品,20200527,2226.0,20200601,2231.0,1,2231.0
3238,セントラル総合開発,20200528,281.0,20200601,284.0,1,284.0
4825,ウェザーニューズ,20200529,3738.0,20200601,3780.0,1,3780.0
