SC,名称,buy_date,buy_price,sell_date,sell_price,flg,株価
5482,愛知製鋼,20200107,3786.0,20200108,3705.0,1.0,3705.0
6317,北川鉄工所,20200107,2355.0,20200108,2323.0,1.0,2323.0
5013,ユシロ化学工業,20200109,1438.0,20200110,1438.0,1.0,1438.0
7607,進和,20200108,2402.0,20200114,2366.0,1.0,2366.0
6302,住友重機械工業,20200110,3146.0,20200115,3100.0,1.0,3100.0
1775,富士古河E＆C,20200109,2047.0,20200116,2080.0,1.0,2080.0
6859,エスペック,20200109,2215.0,20200116,2223.0,1.0,2223.0
8425,みずほリース,20200115,3381.0,20200116,3395.0,1.0,3395.0
4569,キョーリン製薬ホールディングス,20200117,1912.0,20200120,1920.0,1.0,1920.0
8304,あおぞら銀行,20200117,2887.0,20200121,2911.0,1.0,2911.0
9068,丸全昭和運輸,20200121,3151.0,20200122,3100.0,1.0,3100.0
1972,三晃金属工業,20200115,2633.0,20200123,2663.0,1.0,2663.0
4114,日本触媒,20200120,6728.0,20200123,6550.0,1.0,6550.0
4208,宇部興産,20200120,2382.0,20200123,2311.0,1.0,2311.0
4216,旭有機材,20200120,1748.0,20200124,1750.0,1.0,1750.0
5602,栗本鐵工所,20200121,2136.0,20200127,2115.0,1.0,2115.0
7914,共同印刷,20200122,2977.0,20200127,2997.0,1.0,2997.0
5966,京都機械工具,20200124,2013.0,20200128,2000.0,1.0,2000.0
9433,KDDI,20200128,3268.0,20200130,3273.0,1.0,3273.0
5391,エーアンドエーマテリアル,20200131,1516.0,20200203,1498.0,1.0,1498.0
9746,TKC,20200131,5286.0,20200203,5460.0,1.0,5460.0
3945,スーパーバッグ,20200131,1615.0,20200204,1735.0,1.0,1735.0
7914,共同印刷,20200205,2982.0,20200210,2840.0,1.0,2840.0
8586,日立キャピタル,20200205,2976.0,20200212,3130.0,1.0,3130.0
6517,デンヨー,20200204,2076.0,20200213,2120.0,1.0,2120.0
8591,オリックス,20200204,1846.0,20200213,1938.0,1.0,1938.0
1301,極洋,20200210,2893.0,20200213,2859.0,1.0,2859.0
9964,アイ・テック,20200210,1767.0,20200213,1738.0,1.0,1738.0
4973,日本高純度化学,20200205,2633.0,20200214,2699.0,1.0,2699.0
1820,西松建設,20200213,2477.0,20200214,2487.0,1.0,2487.0
6142,富士精工,20200213,1570.0,20200217,1565.0,1.0,1565.0
8001,伊藤忠商事,20200219,2597.0,20200220,2604.5,1.0,2604.5
9437,NTTドコモ,20200219,3103.0,20200225,3094.0,1.0,3094.0
8725,MS＆ADインシュアランスグループホールディングス,20200220,3687.0,20200225,3644.0,1.0,3644.0
4517,ビオフェルミン製薬,20200221,2378.0,20200225,2357.0,1.0,2357.0
4569,キョーリン製薬ホールディングス,20200226,2077.0,20200228,2162.0,1.0,2162.0
2897,日清食品ホールディングス,20200302,8668.0,20200303,8460.0,1.0,8460.0
8111,ゴールドウイン,20200305,6906.0,20200309,6560.0,1.0,6560.0
7071,アンビスホールディングス,20200310,7495.0,20200312,7310.0,1.0,7310.0
8129,東邦ホールディングス,20200406,2151.0,20200407,2238.0,1.0,2238.0
6279,瑞光,20200407,4037.0,20200413,4050.0,1.0,4050.0
9663,ナガワ,20200407,6201.0,20200414,7020.0,1.0,7020.0
2819,エバラ食品工業,20200408,2091.0,20200415,2146.0,1.0,2146.0
7730,マニー,20200410,2360.0,20200415,2337.0,1.0,2337.0
7734,理研計器,20200414,2047.0,20200415,1996.0,1.0,1996.0
1939,四電工,20200415,2234.0,20200416,2274.0,1.0,2274.0
2733,あらた,20200410,4236.0,20200417,4320.0,1.0,4320.0
1980,ダイダン,20200416,2568.0,20200417,2699.0,1.0,2699.0
2003,日東富士製粉,20200416,5597.0,20200417,5770.0,1.0,5770.0
9882,イエローハット,20200416,1410.0,20200417,1437.0,1.0,1437.0
1866,北野建設,20200409,2385.0,20200420,2452.0,1.0,2452.0
3166,OCHIホールディングス,20200409,1312.0,20200420,1400.0,1.0,1400.0
4809,パラカ,20200417,1561.0,20200420,1547.0,1.0,1547.0
9622,スペース,20200420,995.0,20200421,1001.0,1.0,1001.0
6419,マースグループホールディングス,20200421,1656.0,20200422,1654.0,1.0,1654.0
6369,トーヨーカネツ,20200421,1899.0,20200424,1894.0,1.0,1894.0
5302,日本カーボン,20200423,3229.0,20200424,3295.0,1.0,3295.0
8091,ニチモウ,20200423,1614.0,20200424,1648.0,1.0,1648.0
6379,レイズネクスト,20200428,1205.0,20200430,1193.0,1.0,1193.0
8725,MS＆ADインシュアランスグループホールディングス,20200422,2967.0,20200501,3004.0,1.0,3004.0
1822,大豊建設,20200423,2170.0,20200501,2257.0,1.0,2257.0
8725,MS＆ADインシュアランスグループホールディングス,20200424,2988.0,20200501,3004.0,1.0,3004.0
4324,電通グループ,20200427,2040.0,20200501,2169.0,1.0,2169.0
8316,三井住友フィナンシャルグループ,20200427,2721.0,20200501,2738.0,1.0,2738.0
8425,みずほリース,20200428,2062.0,20200501,2045.0,1.0,2045.0
3388,明治電機工業,20200430,1264.0,20200501,1221.0,1.0,1221.0
6331,三菱化工機,20200430,1615.0,20200501,1578.0,1.0,1578.0
8439,東京センチュリー,20200428,3504.0,20200507,3415.0,1.0,3415.0
6459,大和冷機工業,20200430,927.0,20200507,909.0,1.0,909.0
1972,三晃金属工業,20200427,2026.0,20200511,2136.0,1.0,2136.0
4555,沢井製薬,20200508,5887.0,20200512,5960.0,1.0,5960.0
2664,カワチ薬品,20200512,2426.0,20200514,2424.0,1.0,2424.0
4569,キョーリン製薬ホールディングス,20200512,2250.0,20200514,2181.0,1.0,2181.0
2593,伊藤園,20200508,5996.0,20200518,6010.0,1.0,6010.0
7905,大建工業,20200513,1624.0,20200518,1617.0,1.0,1617.0
6361,荏原製作所,20200515,2232.0,20200518,2265.0,1.0,2265.0
8425,みずほリース,20200515,2048.0,20200521,2218.0,1.0,2218.0
8586,日立キャピタル,20200519,1999.0,20200521,2055.0,1.0,2055.0
4461,第一工業製薬,20200520,4370.0,20200521,4430.0,1.0,4430.0
6458,新晃工業,20200518,1400.0,20200522,1455.0,1.0,1455.0
6517,デンヨー,20200520,1932.0,20200522,1876.0,1.0,1876.0
8393,宮崎銀行,20200521,2298.0,20200522,2248.0,1.0,2248.0
7740,タムロン,20200519,1760.0,20200529,2031.0,1.0,2031.0
1930,北陸電気工事,20200525,911.0,20200529,936.0,1.0,936.0
9956,バローホールディングス,20200525,1995.0,20200601,2073.0,1.0,2073.0
4839,WOWOW,20200526,2471.0,20200601,2516.0,1.0,2516.0
6643,戸上電機製作所,20200526,1461.0,20200601,1487.0,1.0,1487.0
7914,共同印刷,20200525,2755.0,20200603,2993.0,1.0,2993.0
4107,伊勢化学工業,20200603,3122.0,20200608,3100.0,1.0,3100.0
4107,伊勢化学工業,20200604,3130.0,20200608,3100.0,1.0,3100.0
2763,エフティグループ,20200610,1298.0,20200612,1281.0,1,1281.0
